sid,star
1071,Shad Moss
1072,Kang-ho Song
1073,Parry Shen
1074,Dana Carvey
1075,Nick Cannon
1076,Eddie Griffin
1077,Alexis Bledel
1078,Angela Bettis
1079,Miguel A. Núñez Jr.
1080,Chiwetel Ejiofor
1081,Kieran Culkin
1082,Bruce Greenwood
1083,Megumi Okina
1084,Keisha Castle-Hughes
1085,Everlyn Sampi
1086,Jeremy Renner
1087,Charlie Hunnam
1088,Barry Watson
1089,Katie Holmes
1090,Casey Affleck
1091,Blayne Weaver
1092,Mars Callahan
1093,Anna Paquin
1094,Tim Curry
1095,Morris Chestnut
1096,Michael Reilly Burke
1097,America Ferrera
1098,Steve Irwin
1099,Kate Beckinsale
1100,Choi Min-sik
1101,Michael Pitt
1102,Albert Brooks
1103,Eric Bana
1104,Evan Rachel Wood
1105,Eliza Dushku
1106,Jeremy Sumpter
1107,Tommy Wiseau
1108,Jessica Biel
1109,Shia LaBeouf
1110,Sid Haig
1111,Kate Hudson
1112,Amanda Bynes
1113,Will Ferrell
1114,Blanchard Ryan
1115,A.J. Cook
1116,Elias McConnell
1117,Chaney Kley
1118,Daryl Sabara
1119,Derek Richardson
1120,Jonathan Breck
1121,Jessica Alba
1122,Jonathan Cherry
1123,Jennifer Connelly
1124,Peter Dinklage
1125,Adam Brody
1126,Halle Berry
1127,Hilary Duff
1128,Brittany Murphy
1129,Jamie Kennedy
1130,Anthony Anderson
1131,Michèle Caucheteux
1132,Paul Rudd
1133,Wes Ramsey
1134,Clive Owen
1135,Romola Garai
1136,Jason Lee
1137,Zooey Deschanel
1138,Kelly Clarkson
1139,Philip Seymour Hoffman
1140,Joe Nicolo
1141,Anne Reid
1142,Jodi Carlisle
1143,Joseph Fiennes
1144,Corbin Allred
1145,Samy Naceri
1146,Liam Aiken
1147,Emile Hirsch
1148,Scott Mechlowicz
1149,Lindsay Lohan
1150,Hugh Jackman
1151,Craig T. Nelson
1152,Chieko Baishô
1153,Jon Heder
1154,Jennifer Garner
1155,Don Cheadle
1156,John Cho
1157,Paul Giamatti
1158,Anne Hathaway
1159,Shane Carruth
1160,Tom Kenny
1161,Zach Braff
1162,Tony Chiu-Wai Leung
1163,Martin Henderson
1164,Cayden Boyd
1165,Queen Latifah
1166,Kenan Thompson
1167,Jena Malone
1168,Viggo Mortensen
1169,Rory Culkin
1170,Diego Luna
1171,Sara Foster
1172,Gael García Bernal
1173,Dwayne Adway
1174,Seung-Yun Lee
1175,Mary-Kate Olsen
1176,Stellan Skarsgård
1177,Tracey Ullman
1178,Cedric the Entertainer
1179,Konstantin Khabenskiy
1180,Omarion
1181,Ray Romano
1182,Owen Wilson
1183,Catalina Sandino Moreno
1184,Imelda Staunton
1185,Paul Kaye
1186,Kristen Stewart
1187,Jang Dong-Gun
1188,Anthony Mackie
1189,Steve Carell
1190,Ziyi Zhang
1191,Keira Knightley
1192,Hugo Weaving
1193,Orlando Bloom
1194,Martin Freeman
1195,Ioan Gruffudd
1196,Nathan Fillion
1197,Jay Hernandez
1198,Patrick Wilson
1199,Amber Tamblyn
1200,Rachel McAdams
1201,Chad Michael Murray
1202,Seann William Scott
1203,Stephanie Leonidas
1204,Donnie Wahlberg
1205,Josh Hutcherson
1206,Camilla Belle
1207,Nathan Phillips
1208,Karl Urban
1209,Owen Kline
1210,Kimberly Elise
1211,Peter Sallis
